Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.489913545,-0.219917012,-0.691642651,4.024896266,-1.314121037,-2.684647303
2.55907781,-0.244813278,0.495677233,0.414937759,-2.951008646,0.178423237
2.65129683,-0.232365145,0.518731988,-1.713692946,-2.363112392,0.77593361
2.824207493,-0.12033195,-0.472622478,-0.65560166,-2.939481268,-0.219917012
2.88184438,-0.095435685,-0.288184438,-0.282157676,-0.057636888,-1.365145228
2.92795389,-0.020746888,0.09221902,0.053941909,-1.44092219,0.153526971
2.974063401,0.029045643,0.242074928,0.190871369,-1.832853026,0.352697095
3.008645533,0.091286307,0.13832853,0.352697095,-2.282420749,0.46473029
3.020172911,0.178423237,0.103746398,0.526970954,-0.945244957,-0.543568465
2.974063401,0.265560166,-0.069164265,0.800829876,-0.772334294,-0.742738589
2.893371758,0.265560166,0.034582133,0.838174274,-0.726224784,-0.87966805
2.801152738,0.290456432,-0.011527378,1,-0.576368876,-1.128630705
2.731988473,0.290456432,-1.4870317,2.269709544,-0.472622478,-1.128630705
2.65129683,0.278008299,-2.536023055,2.033195021,-0.311239193,-1.178423237
2.582132565,0.265560166,-2.478386167,1.609958506,-2.547550432,-0.904564315
2.5129683,0.203319502,-2.582132565,1.074688797,-2.731988473,-0.481327801
2.409221902,0.10373444,-2.051873199,0.365145228,-1.867435159,-1.701244813
2.374639769,0.091286307,-1.729106628,0.228215768,-1.406340058,-1.937759336
2.305475504,-0.033195021,-1.198847262,-0.157676349,-0.760806916,-2.112033195
2.305475504,-0.082987552,-0.829971182,-0.219917012,-0.276657061,-1.850622407
2.363112392,-0.132780083,-0.853025937,-0.257261411,-0.288184438,-1.950207469
2.397694524,-0.20746888,-0.714697406,-0.145228216,-1.798270893,-1.427385892
2.65129683,-0.145228216,-0.829971182,-0.132780083,-1.971181556,-1.315352697
2.731988473,-0.107883817,-1.025936599,-0.008298755,-2.097982709,-0.954356846
2.801152738,-0.033195021,-1.129682997,0.066390041,-2.293948127,-0.518672199
2.83573487,0.004149378,-1.337175793,0.01659751,-2.317002882,-0.356846473
2.88184438,0.066390041,-1.625360231,0.315352697,-2.397694524,-0.257261411
2.916426513,0.116182573,-2.040345821,0.676348548,-2.778097983,-0.244813278
2.88184438,0.190871369,-2.167146974,0.77593361,-2.720461095,-0.082987552
2.778097983,0.203319502,-2.040345821,0.912863071,-2.685878963,0.141078838
2.708933718,0.203319502,-0.553314121,-0.195020747,-2.616714697,0.265560166
2.616714697,0.190871369,-0.495677233,-0.082987552,-2.501440922,0.116182573
