Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.610351533,-1.403695395,-6.156838937,1.502903219,-16.61654135,-11.30894309
2.575214736,-1.491460257,-6.712903873,-0.331548097,-15.86466165,-10.42682927
2.554132658,-1.568586954,-8.097820318,-1.570398336,-16.2406015,-9.573170732
2.592783134,-1.605820532,-15.68338539,-9.440273892,-14.77443609,-8.520325203
2.698193524,-1.600501449,-14.18305924,-9.313212329,-12.7443609,-7.865853659
2.786035516,-1.544651082,-13.13388012,-8.733493948,-12.85714286,-7.609756098
2.870363828,-1.467524386,-11.18240695,-4.262515201,-12.06766917,-7.552845528
2.768467118,-1.680287687,-11.01453829,-4.548403718,-12.59398496,-6.215447154
2.515482182,-0.927637507,-10.59486664,-3.595441995,-11.84210526,-5.504065041
2.866850148,-1.541991541,-10.33257185,-3.452497737,-9.962406015,-6.386178862
2.944151101,-1.470183927,-10.10175245,-3.396908303,-9.511278195,-6.101626016
2.972260538,-1.409014478,-9.587654676,-3.436615042,-8.421052632,-5.219512195
2.986315257,-1.377099982,-9.629621841,-3.968685337,-9.32104567,-5.15522433
3.007397334,-1.310611451,-10.23814573,-4.373694069,-8.864174325,-4.891749473
3.007397334,-1.238803836,-7.436837469,-4.635758542,-9.364557226,-4.875282294
3.010911014,-1.169655763,-6.996182237,-4.111629595,-8.864174325,-4.414201295
3.014424694,-1.105826773,-6.922739698,-3.865447817,-8.472570315,-4.397734116
3.003883655,-1.031359617,-6.261756849,-3.809858383,-7.732873851,-4.315398223
2.993342616,-0.999445122,-7.143067314,-3.730444906,-7.515316068,-3.310900331
2.937123741,-0.927637507,-8.339131517,-3.412790999,-7.10195628,-3.360301867
2.863336468,-0.922318425,-8.769294958,-3.142785177,-6.993177388,-3.508506474
2.74387136,-0.927637507,-8.444049429,-2.737776445,-7.863408521,-3.360301867
2.656029368,-0.956892461,-7.258477018,-2.976016876,-8.102722083,-3.459104938
2.515482182,-1.020721452,-6.817821786,-3.03160631,-8.320279866,-3.179162903
2.462776987,-1.065933653,-4.729955327,-3.047489005,-7.841652743,-2.833352153
2.438181229,-1.151038974,-3.91159561,-2.475711972,-7.819896965,-2.454607046
2.417099151,-1.249442001,-3.061760518,-2.531301405,-7.123712058,-3.706112617
2.371421316,-1.363802276,-5.307003846,-2.856896661,-7.10195628,-2.701614724
2.339798199,-1.45688622,-5.852576991,-2.753659141,-6.97142161,-2.553410117
2.339798199,-1.56060833,-7.289952392,-1.776873375,-7.276002506,-2.092329118
2.413585472,-1.624437321,-7.195526271,-1.300392514,-6.819131161,-1.730051189
2.445208589,-1.637735027,-6.072904607,-1.737166637,-6.688596491,-2.174665011
2.508454823,-1.64305411,-6.377166553,-1.228920385,-6.471038708,-2.965089581
2.448722268,-1.534012917,-6.135855354,-0.49037505,-6.384015595,-2.487541403
2.43115387,-1.454226679,-5.537823253,0.017871202,-5.992411585,-2.257000903
2.494400104,-1.358483193,-4.929299361,0.26405298,-6.05767892,-2.63574601
2.571701056,-1.252101543,-4.677496371,1.312310874,-6.362259816,-2.125263475
2.610351533,-1.182953469,-6.009953859,-1.41951273,-6.514550265,-1.614780939
2.694679845,-1.116464938,-5.59028221,-1.276568471,-6.44928293,-0.956093797
2.63494729,-1.07923136,-4.289300095,-2.07070324,-6.775619605,-1.087831226
2.852795429,-1.049976406,-3.99552994,-1.697459898,-5.470272904,-2.998023939
2.923069023,-1.092529066,-3.544382916,-1.96746572,-5.383249791,-2.471074225
2.894959585,-1.233484754,-3.271596343,-2.007172458,-4.817599554,-2.158197832
2.84928175,-1.337206863,-3.07225231,-2.030996501,-5.513784461,-1.614780939
2.768467118,-1.438269432,-2.788973946,-1.816580114,-5.361494013,-1.894722975
2.698193524,-1.478162551,-5.915527738,-2.038937849,-4.513018658,-1.812387082
2.736844001,-1.353164111,-5.191594142,-0.522140441,-4.817599554,-1.450109154
2.800090234,-1.265399249,-5.684708331,-0.943031868,-4.621797549,-1.120765583
2.824685992,-1.174974846,-4.394218007,0.986715619,-5.187447786,-1.137232761
2.824685992,-1.153698515,-4.436185172,0.661120364,-5.557296018,-0.972560976
2.726302962,-1.233484754,-4.436185172,0.081401983,-4.991645781,-0.725553297
2.680625126,-1.28933512,-4.027005313,1.145542573,-4.513018658,-0.676151762
2.64197465,-1.326568698,-4.037497105,1.812615778,-4.621797549,-0.149202048
2.578728416,-1.323909157,-3.680776202,1.804674431,-4.143170426,-0.149202048
2.515482182,-1.305292368,-3.785694115,1.637906129,-3.642787524,-0.92315944
2.445208589,-1.337206863,-3.397497838,1.693495563,-3.446985519,-1.548912225
2.494400104,-1.464864844,-3.040776936,2.559102461,-4.273705096,-1.170167118
2.346825558,-1.536672459,-2.715531407,2.169976424,-3.077137288,-1.762985547
2.308175082,-1.443588514,-2.390285878,2.408216855,-2.816067948,-1.219568654
2.343311879,-1.337206863,-1.949630646,2.614691895,-2.533242829,-0.840823547
2.399530753,-1.270718331,-1.6453687,2.749694805,-2.467975494,-1.120765583
2.554132658,-1.111145855,-1.81323736,3.027641974,-2.489731273,-1.713584011
